asin,review
B09S6FWS7W,"
I have a newer style faucet in my house and the neck of this item did not even fit around the base of the faucet. I tried keeping it hooked around the water conditioner base but it would not hold. The neck of the item is very flimsy. The sponges that come with these I did not use at all as they are inferior to the ones I purchase at the dollar store.
"
B09S6FWS7W,"
Watch the girth of your faucet! Mine faucet is wide, the hook couldn’t fit around it. I had to return it.
"
B09S6FWS7W,"
My faucet is a large spout with built in pullout sprayer. The base is too big. Am finding other ways to use these.
"
B09S6FWS7W,"
They should state that it only fits very narrow faucets.
"
B09S6FWS7W,"
The product idea is genius, but our faucet is larger in diameter than the product allows so it isn't a good fit in our sink.
"
B09S6FWS7W,"
Missing a strainer. Bag looks like it has been reused.
"
B09S6FWS7W,"
Not made for a gooseneck faucet or one that is wide at the bottom
"
B09S6FWS7W,"
The curve handle did not fit my faucet. I had to strap it with a tie
"
B09S6FWS7W,"
I ordered these for myself and two daughters. They don’t fit any of our faucets. They will only work for a very slim faucet base.
"
B09S6FWS7W,"
Did not hang like pictured.  Wouldn't fit around my faucet.
"
B09S6FWS7W,"
Does not fit the faucet
"
B09S6FWS7W,"
The neck handle does not fit around all kitchen sink faucets bummer
"
B09S6FWS7W,"
I like the idea of this product but it doesn’t fit on my kitchen sink faucet.
"
B09S6FWS7W,"
Sadly the curve is too small for today's sinks and faucets.  I'm still trying to give them away.  I should have known by looking at them so since it was my fault I am not returning them.
"
B09S6FWS7W,"
Our faucet is too large for the hook to fit
"
B09S6FWS7W,"
Good concept, would work if it fit on the sink although it did not. It’s only fitting for very specific sink style. Also, kind of bigger than expected.
"
B09S6FWS7W,"
Doesn't properly fit my sink, too short from hook to strainer. I will use it, but ha e to do so differently
"
B09S6FWS7W,"
They do not fit around any of the faucets in my house.
"
B09S6FWS7W,"
This product did not work.  The hook to attach around your faucet is too short.  And to return it costs more than the original purchase.  DON'T waste your money on this product!!
"
B09S6FWS7W,"
If you have a new faucet it doesn't fit around the bottom.
"
B09S6FWS7W,"
This would be great if you have an older style faucet with a skinny base but will not fit most faucet styles of today!
"
B09S6FWS7W,"
Do not buy. I’ve tried in a few different sinks and it does not work, does not fit. Just hangs all lopsided. Waste of money.
"
B09S6FWS7W,"
Hook is smaller than in looks, doesn't fit around our faucet. It works but we have to hang it off the soap dispenser instead
"
B09S6FWS7W,"
I didn't even consider that this might not fit on my sink... But it doesn't. That makes it pretty worthless to me.Even if it did fit around the faucet, it didn't have enough clearance to sit in the sink.Maybe this made for bathroom sinks?
"
B09S6FWS7W,"
Great idea; however, it doesn’t fit any of my sinks. The curved neck that goes around the faucet is too small and it is not long enough to sit properly.  I have a Koehler in the kitchen and a generic in the laundry room.  Wish it would be redesigned as it would be handy when cleaning vegetables.
"
